timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802695,6,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,6,0,0
1747329802701,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802701,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802703,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802703,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802705,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802705,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802708,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802708,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802709,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802709,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802711,9,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,7,0,0
1747329802711,11,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,11,0,0
1747329802721,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802721,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,1
1747329802723,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802724,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802724,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802726,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802727,5,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,5,0,0
1747329802727,8,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,8,0,0
1747329802729,6,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,6,0,0
1747329802733,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802735,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802735,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,4,0,0
